human_PCNA_NP_872590.1	NW_022098076.1	95.402	261	12	0	1	261	94206903	94206121	3.63e-166	514
human_PCNA_NP_872590.1	NW_022098076.1	88.618	123	12	1	139	261	94205778	94205416	1.63e-64	223
human_PCNA_NP_872590.1	NW_022098045.1	95.669	254	11	0	1	254	8168781	8168020	1.54e-160	498
human_PCNA_NP_872590.1	NW_022098051.1	100.000	73	0	0	1	73	7066737	7066955	4.44e-40	152
human_PCNA_NP_872590.1	NW_022098051.1	98.507	67	1	0	130	196	7069460	7069660	1.83e-35	139
human_PCNA_NP_872590.1	NW_022098051.1	67.708	96	2	1	195	261	7070993	7071280	7.78e-30	123
human_PCNA_NP_872590.1	NW_022098051.1	85.000	40	6	0	73	112	7067799	7067918	3.21e-12	71.6
cow_PCNA_NP_001029666.1	NW_022098076.1	95.402	261	12	0	1	261	94206903	94206121	1.92e-166	515
cow_PCNA_NP_001029666.1	NW_022098076.1	88.618	123	12	1	139	261	94205778	94205416	8.87e-65	224
cow_PCNA_NP_001029666.1	NW_022098045.1	95.669	254	11	0	1	254	8168781	8168020	7.54e-161	499
cow_PCNA_NP_001029666.1	NW_022098051.1	100.000	73	0	0	1	73	7066737	7066955	4.07e-40	152
cow_PCNA_NP_001029666.1	NW_022098051.1	98.507	67	1	0	130	196	7069460	7069660	2.63e-35	139
cow_PCNA_NP_001029666.1	NW_022098051.1	67.708	96	2	1	195	261	7070993	7071280	4.06e-30	124
cow_PCNA_NP_001029666.1	NW_022098051.1	85.000	40	6	0	73	112	7067799	7067918	3.72e-12	71.6
dolphin_PCNA_XP_033695278.1	NW_022098076.1	95.402	261	12	0	1	261	94206903	94206121	1.57e-166	515
dolphin_PCNA_XP_033695278.1	NW_022098076.1	88.618	123	12	1	139	261	94205778	94205416	5.37e-65	224
dolphin_PCNA_XP_033695278.1	NW_022098045.1	96.457	254	9	0	1	254	8168781	8168020	4.75e-162	503
dolphin_PCNA_XP_033695278.1	NW_022098051.1	100.000	73	0	0	1	73	7066737	7066955	4.74e-40	152
dolphin_PCNA_XP_033695278.1	NW_022098051.1	98.507	67	1	0	130	196	7069460	7069660	2.05e-35	139
dolphin_PCNA_XP_033695278.1	NW_022098051.1	69.792	96	0	1	195	261	7070993	7071280	2.71e-31	127
dolphin_PCNA_XP_033695278.1	NW_022098051.1	85.000	40	6	0	73	112	7067799	7067918	3.76e-12	71.6
bowhead_bmy21945_PCNA_262aa	NW_022098076.1	93.870	261	16	0	1	261	94206903	94206121	6.05e-163	505
bowhead_bmy21945_PCNA_262aa	NW_022098076.1	87.805	123	13	1	139	261	94205778	94205416	1.41e-63	220
bowhead_bmy21945_PCNA_262aa	NW_022098045.1	93.701	254	16	0	1	254	8168781	8168020	3.46e-156	486
bowhead_bmy21945_PCNA_262aa	NW_022098051.1	95.890	73	3	0	1	73	7066737	7066955	2.66e-37	144
bowhead_bmy21945_PCNA_262aa	NW_022098051.1	97.015	67	2	0	130	196	7069460	7069660	1.74e-34	136
bowhead_bmy21945_PCNA_262aa	NW_022098051.1	67.708	96	2	1	195	261	7070993	7071280	8.48e-30	123
bowhead_bmy21945_PCNA_262aa	NW_022098051.1	82.500	40	7	0	73	112	7067799	7067918	2.60e-11	68.9
bowhead_bmy16007_PCNA_like_250aa	NW_022098076.1	91.188	261	11	1	1	249	94206903	94206121	1.75e-156	486
bowhead_bmy16007_PCNA_like_250aa	NW_022098076.1	79.675	123	11	2	139	249	94205778	94205416	5.94e-55	195
bowhead_bmy16007_PCNA_like_250aa	NW_022098045.1	91.339	254	10	1	1	242	8168781	8168020	1.58e-150	469
bowhead_bmy16007_PCNA_like_250aa	NW_022098051.1	100.000	73	0	0	1	73	7066737	7066955	3.46e-40	152
bowhead_bmy16007_PCNA_like_250aa	NW_022098051.1	100.000	56	0	0	130	185	7069460	7069627	7.07e-29	120
bowhead_bmy16007_PCNA_like_250aa	NW_022098051.1	68.478	92	0	1	187	249	7071005	7071280	8.98e-29	119
bowhead_bmy16007_PCNA_like_250aa	NW_022098051.1	85.000	40	6	0	73	112	7067799	7067918	3.24e-12	71.6
beluga_PCNA_XP_022412201.1	NW_022098076.1	95.402	261	12	0	1	261	94206903	94206121	1.57e-166	515
beluga_PCNA_XP_022412201.1	NW_022098076.1	88.618	123	12	1	139	261	94205778	94205416	5.37e-65	224
beluga_PCNA_XP_022412201.1	NW_022098045.1	96.457	254	9	0	1	254	8168781	8168020	4.75e-162	503
beluga_PCNA_XP_022412201.1	NW_022098051.1	100.000	73	0	0	1	73	7066737	7066955	4.74e-40	152
beluga_PCNA_XP_022412201.1	NW_022098051.1	98.507	67	1	0	130	196	7069460	7069660	2.05e-35	139
beluga_PCNA_XP_022412201.1	NW_022098051.1	69.792	96	0	1	195	261	7070993	7071280	2.71e-31	127
beluga_PCNA_XP_022412201.1	NW_022098051.1	85.000	40	6	0	73	112	7067799	7067918	3.76e-12	71.6
